name,location,location,rate,votes,cost,cuisines,lat,lon
Corner House Ice Cream,Koramangala 5th Block,Koramangala 6th Block,4.6,278,400.0,"Ice Cream, Desserts",13.074065518740937,77.62679989967108
Hunan King's,Sahakara Nagar,New BEL Road,2.9,123,800.0,"Chinese, Thai, Momos",12.922774000521073,77.55512391234161
Kanti Sweets,BTM,Jayanagar,4.1,113,400.0,"Mithai, Street Food",13.013128976476958,77.68938349397308
Warm Oven,Marathahalli,Marathahalli,3.8,69,500.0,"Bakery, Desserts",12.9552367628813,77.53544855546491
Ambur Biryani Point,Koramangala 1st Block,Koramangala 6th Block,4.2,429,250.0,"Biryani, Kebab",12.934363235660255,77.68644351279221
Hotel Empark,Wilson Garden,Jayanagar,3.4,16,800.0,"Chinese, North Indian, Arabian",13.04849151284271,77.58445712089319
Chandus Delux,Malleshwaram,Malleshwaram,3.9,81,600.0,"South Indian, North Indian, Seafood, Chinese",13.074982366650957,77.6909331078634
Foodies Choice,Nagawara,Kammanahalli,3.7,48,150.0,"Arabian, Chinese, Fast Food, Beverages",12.942396304159853,77.51404549151862
Artinci Artisanal Ice Cream,HSR,HSR,3.5,7,300.0,"Ice Cream, Desserts",13.019294915508791,77.589937907397
Happy Hours,Seshadripuram,Malleshwaram,3.8,24,400.0,"Cafe, Desserts",13.08668228591035,77.58683273895856
Andhra Ghumaghumalu,Whitefield,Whitefield,3.5,18,300.0,"Andhra, Biryani, North Indian",12.99120757296289,77.53777075377114
Wow! Sikkim Momo,New BEL Road,New BEL Road,3.3,18,150.0,"Chinese, North Indian, Momos",13.075563834514014,77.59960448116277
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Indiranagar,Old Airport Road,3.1,54,500.0,Continental,12.93721000656174,77.6522421372011
Beijing Bites,Richmond Road,Residency Road,3.8,266,850.0,"Chinese, Thai",13.006188746214473,77.55654523949804
Crunch Pizzas,Ulsoor,Lavelle Road,2.5,34,600.0,"Italian, Pizza",12.932112475561636,77.69228076101768
The Lounge - Eden Park Restaurants,Jayanagar,Basavanagudi,3.7,151,1350.0,"North Indian, Afghani",12.96994064594917,77.60391721059342
Church Street Social,Church Street,Church Street,4.3,7547,1500.0,"American, North Indian, Chinese, Finger Food, Momos",12.95595338617741,77.64090397872553
Davis Bar And Restaurant,Kammanahalli,Kammanahalli,3.0,31,700.0,"North Indian, Finger Food, Chinese",13.05450528463252,77.54733180568893
Billionaires Cafe,Koramangala 5th Block,BTM,3.8,47,600.0,"Cafe, Italian",13.02513638245227,77.52479744132528
Mojo Pizza - 2X Toppings,BTM,JP Nagar,4.3,476,600.0,Pizza,12.974663081273189,77.6795520447234
BISO - Citrus Hotels,Cunningham Road,Frazer Town,3.9,158,1100.0,"North Indian, South Indian, Italian, Continental",13.016045706439828,77.68553887995037
Facebake,Banaswadi,Kammanahalli,3.7,68,300.0,"Bakery, Desserts",12.957791563828144,77.5514425747075
Vasudev Adiga's,MG Road,MG Road,2.5,301,250.0,"South Indian, North Indian, Chinese, Street Food",12.963949680245314,77.6487447259255
PurpleBasil.in,Kammanahalli,Kammanahalli,4.1,77,500.0,"Healthy Food, Desserts",12.948308562543195,77.51963913324154
Soo Ra Sang,Indiranagar,Indiranagar,4.1,290,1500.0,Korean,12.964959783076072,77.64619576867392
Chatpata India,Whitefield,Whitefield,3.9,104,400.0,North Indian,13.057054013182015,77.58306517952559
Melt,BTM,Koramangala 4th Block,4.0,115,1000.0,"Continental, Steak, Fast Food",13.017328602489126,77.5232401254341
Chatorr,Bellandur,Bellandur,2.9,78,400.0,"Fast Food, Street Food",13.04141729545334,77.51233829021395
Xpress Biryani,Ulsoor,Church Street,4.3,148,650.0,"Biryani, North Indian, Kebab",12.911952454835678,77.51659511887807
Cafesta,Whitefield,Brookefield,4.3,559,550.0,"Cafe, Italian, Fast Food, Desserts",12.936236655810017,77.56653813626625
Cravy Wings,Bannerghatta Road,Basavanagudi,4.2,289,400.0,"American, Burger, Fast Food",12.936229869906937,77.62304984104343
Punjabi Restaurant,RT Nagar,Kalyan Nagar,3.3,238,400.0,"North Indian, Chinese",12.972329065551005,77.66723724166305
The Crust Factory,Yeshwantpur,Malleshwaram,3.5,11,400.0,"Bakery, Cafe, Desserts",12.995937350924097,77.52067933907641
Delicious Momos,Kalyan Nagar,Kammanahalli,3.9,48,200.0,"Street Food, Momos",13.096937110783047,77.66093695929061
OCEA HOTEL,Brigade Road,MG Road,3.7,281,800.0,"North Indian, Chinese, Seafood",12.948572930106254,77.61277720674693
New Mahesh Friends Food Corner,BTM,Koramangala 7th Block,3.2,55,300.0,"North Indian, Chinese",13.061116849828725,77.56583019294976
A2B Veg - Adyar Ananda Bhavan,Jayanagar,Jayanagar,2.8,210,400.0,"South Indian, North Indian, Chinese, Street Food, Fast Food",13.05157162441442,77.5927051818199
Bearfoot Cafe,Koramangala 6th Block,Koramangala 7th Block,4.2,177,600.0,Cafe,12.952109002821947,77.6764978760694
Gilly's Restobar,Electronic City,Electronic City,4.3,1249,1200.0,"Continental, North Indian, Chinese, Salad",12.908117142426939,77.61180406785897
The French Loaf,Ulsoor,Brigade Road,2.9,46,400.0,"Bakery, Desserts, Sandwich",12.906229818558678,77.55906570402804
Classic Lassi Shop,Ulsoor,Lavelle Road,3.4,43,150.0,"Beverages, Ice Cream",12.95615508145205,77.63221895986099
El Salver,BTM,Koramangala 6th Block,3.9,74,900.0,"North Indian, Chinese, South Indian",12.926064822712025,77.61554600062763
Casa De Goa,Kalyan Nagar,Kammanahalli,4.2,341,1400.0,"Goan, Mangalorean",13.0257721170689,77.68520706714713
Mooch Marod,Koramangala 6th Block,Koramangala 5th Block,4.2,94,400.0,North Indian,12.906582159390988,77.59599268744473
Ice - Taj MG Road Bengaluru,MG Road,Church Street,4.1,608,2800.0,Continental,13.013264576033306,77.64111793267584
UBQ By Barbeque Nation,Kalyan Nagar,Kammanahalli,3.1,14,450.0,"North Indian, BBQ, Biryani, Kebab",13.083795865100079,77.60534854274432
Calvin's,Koramangala 5th Block,Koramangala 4th Block,3.8,433,800.0,Desserts,12.969865407195183,77.65224626708132
South Indian Kitchen,JP Nagar,Jayanagar,3.3,6,300.0,"Asian, BBQ, South Indian, Chinese",13.04534696727067,77.62091175153836
Diya's Findish,Bommanahalli,Bannerghatta Road,3.3,6,500.0,"North Indian, Chinese, Bengali",12.913470120293754,77.55342776909869
Sitara Veg Restaurant,Electronic City,Electronic City,3.9,417,400.0,"South Indian, North Indian, Chinese",12.938757826004672,77.68865522015393
Rahhams,Kammanahalli,Kammanahalli,3.5,312,700.0,"Mughlai, North Indian, Chinese",13.093180598373161,77.65121157731325
Selfie Cafe,Koramangala 7th Block,Koramangala 4th Block,3.7,19,300.0,"Beverages, Fast Food, Desserts",13.076780362992022,77.53287781408827
FreshEats,East Bangalore,Whitefield,3.6,14,400.0,"Continental, North Indian, Thai",12.903604850632888,77.58953992459462
Woodfire Pizza,Thippasandra,Indiranagar,3.1,30,400.0,"Pizza, Fast Food",13.060840581459557,77.61583822327307
"Cakes, Crumbs & Magic",Kalyan Nagar,Kalyan Nagar,3.3,4,300.0,Bakery,12.910990690773726,77.68473459839787
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,BTM,4.3,1101,700.0,"Cafe, Continental, Pizza, Salad",13.021642275353289,77.6240675549644
Gilly's Restobar,Brookefield,Marathahalli,4.4,1788,1200.0,"Continental, Finger Food, North Indian, Chinese",13.050677084803121,77.66916921002148
Noon's,HSR,BTM,4.2,161,300.0,Biryani,12.917393404051188,77.63649219572899
Le Cirque Signature - The Leela Palace,Old Airport Road,Indiranagar,4.3,126,6000.0,"French, Italian",12.906412703418908,77.58286528616539
The Rice Bowl,Lavelle Road,MG Road,4.3,509,1300.0,"Chinese, Momos",12.98180542418293,77.5001529532645
Indian Spice Food,Ulsoor,Residency Road,3.7,33,300.0,"North Indian, Chinese",12.999835951301693,77.6785911567342
Crispy Crust Pizza,Indiranagar,Old Airport Road,3.1,45,450.0,Pizza,12.976856113691952,77.53990096717087
Nammura Baduta,Vasanth Nagar,Malleshwaram,3.3,8,350.0,South Indian,12.915860494950678,77.51399443444325
Chaai Resto,Sarjapur Road,Bellandur,4.1,33,200.0,"Cafe, Rolls, Fast Food",13.065195642541616,77.62577469405603
Polo Club - The Oberoi,MG Road,Residency Road,4.1,116,3000.0,"American, North Indian, European, Tex-Mex",12.91205952027151,77.58540675821452
Hearts Unlock Cafe,BTM,Bannerghatta Road,3.2,11,500.0,"Cafe, Healthy Food",13.004032700222398,77.57045597866284
Billionaires Cafe,Koramangala 5th Block,Koramangala 7th Block,3.8,47,600.0,"Cafe, Italian",12.900676797314796,77.65776937982632
Fresh Pressery Cafe,Lavelle Road,MG Road,4.0,104,1200.0,"Cafe, Italian, Healthy Food",12.990485377293341,77.52128910934935
What the Food,BTM,Koramangala 4th Block,3.6,38,250.0,"North Indian, Chinese, Fast Food",13.006092600008163,77.61154335703016
China Tang,BTM,Koramangala 6th Block,3.7,41,600.0,Chinese,13.077666925355752,77.59889424689811
Best B Restaurant,HBR Layout,Kammanahalli,3.5,12,400.0,"South Indian, North Indian, Chinese, Kerala",12.916103311718302,77.53468092754227
Agent Jack's Bar,Indiranagar,Old Airport Road,4.1,597,1300.0,"Continental, North Indian, Italian",13.027334573600276,77.66528620455158
Tawa Ghar Ka,HSR,Koramangala 4th Block,3.8,331,350.0,North Indian,13.004278947252587,77.55513805422423
Biryani Durbar,Bannerghatta Road,JP Nagar,3.7,129,400.0,"Biryani, North Indian",13.02329587170825,77.53740976936741
Anjappar,Indiranagar,Old Airport Road,3.8,777,650.0,"Chettinad, South Indian",12.913092744260405,77.6686638129907
Subway,Sarjapur Road,HSR,3.9,93,600.0,"Salad, Fast Food",12.952761214989271,77.6199425469268
Crescent Avenue - Hotel Bangalore International,Race Course Road,Brigade Road,3.6,41,1400.0,"North Indian, Continental, Chinese, Asian, Thai",13.00384491415604,77.69286730449699
Healthie,Indiranagar,Brigade Road,3.9,189,600.0,"Healthy Food, Beverages",12.925573360244483,77.63058692314031
Karachi Bakery,Koramangala 5th Block,BTM,3.3,5,400.0,"Bakery, Desserts",12.950434575499106,77.50864006017115
The Spice Pavillion,Marathahalli,Marathahalli,3.7,126,600.0,North Indian,12.946415817637604,77.52447939070828
Vaigai Express,Whitefield,Brookefield,3.3,9,400.0,"South Indian, North Indian, Chinese",12.97774526957531,77.69379278860809
Flavour of China,BTM,Koramangala 6th Block,3.8,254,600.0,Chinese,13.005408799365735,77.51253730148032
Aadvik Nightfood,Frazer Town,Frazer Town,3.6,22,350.0,Fast Food,12.910809525469945,77.57355522653037
Lavonne,Indiranagar,Indiranagar,4.4,1099,800.0,"Cafe, Desserts",12.955566579912931,77.52605668408428
Tetto,Koramangala 1st Block,Koramangala 6th Block,3.7,130,1200.0,Continental,13.09263154005122,77.51473319972999
Barkat,BTM,Koramangala 5th Block,3.4,6,250.0,Kerala,13.09422110167295,77.63441254284224
The Fixx,Koramangala 4th Block,Koramangala 4th Block,4.3,216,1200.0,"Continental, South Indian, Italian, North Indian, Chinese",13.044384793985786,77.53972904107324
The North and South Restaurant,Whitefield,Marathahalli,3.2,19,400.0,"North Indian, Chinese, South Indian",13.003609176882279,77.58561057191145
Shanmukha,Old Airport Road,Old Airport Road,3.8,149,800.0,"Biryani, Andhra, North Indian, Chinese",13.026182585293165,77.68270978802123
Nammura Upachara,Basaveshwara Nagar,Malleshwaram,3.6,41,300.0,"Chinese, North Indian, South Indian",13.075109574493085,77.5307449776471
Kinara Tiffany,Vasanth Nagar,Lavelle Road,3.6,16,100.0,South Indian,12.92242385003254,77.6413452685442
4 Seasons Restaurant,Kalyan Nagar,Kalyan Nagar,3.7,399,1000.0,"North Indian, Seafood, Middle Eastern, Chinese",13.013107782923932,77.5758741231679
Cream & Fudge,Whitefield,Whitefield,3.9,71,250.0,"Ice Cream, Desserts",13.021718417321033,77.59276150034863
Sai Bhavan Veg & Non Veg,Banaswadi,Kalyan Nagar,3.2,11,400.0,"Mughlai, Chinese, South Indian",12.925836783561751,77.59523157622586
KFC,Kammanahalli,Kammanahalli,3.1,639,450.0,"Burger, Fast Food",12.97775902379228,77.54033799194134
Vinny's,Banashankari,Basavanagudi,4.2,2115,800.0,"Pizza, Italian, Continental, Desserts",13.033518677112717,77.66457635710816
Gorilla Barfare,Koramangala 6th Block,Koramangala 6th Block,4.2,271,1400.0,"Continental, Pizza, Burger",13.009198827084594,77.56393780935962
ReadyBowl,Bellandur,Sarjapur Road,3.6,76,300.0,"Andhra, South Indian, North Indian, Biryani",13.029145563160103,77.66328756973105
Ambur Hot Dum Biryani,Hennur,Kammanahalli,3.1,6,250.0,"Biryani, Kebab",13.091251839605476,77.67094546121903
154 Breakfast Club,Koramangala 3rd Block,Koramangala 4th Block,4.0,1513,900.0,"Cafe, Continental",12.992874064036409,77.56592656555301
CTR,Malleshwaram,Rajajinagar,4.8,4421,150.0,South Indian,12.982422469392954,77.59389268047435
The Belgian Waffle Co.,Residency Road,MG Road,3.7,78,350.0,"Desserts, Beverages",13.089090110023557,77.6705596206005
Paisa Vasool,Koramangala 7th Block,Koramangala 6th Block,3.3,395,400.0,North Indian,13.053122656804433,77.53054021763825
Mysore Carnival Restaurant,Koramangala 6th Block,Koramangala 7th Block,3.8,14,350.0,"Chinese, Kerala, North Indian, South Indian",13.03777862160649,77.6872109540831
Kerala Mess,Indiranagar,Old Airport Road,3.6,36,300.0,Kerala,13.085769195175251,77.6474618403095
Ahmad's Chicken Hut,Banaswadi,Kammanahalli,3.2,9,200.0,"North Indian, Chinese",13.049253212266441,77.5593926706144
Anupam's Coast II Coast,Koramangala 6th Block,Koramangala 7th Block,4.1,845,700.0,"Seafood, Mangalorean, North Indian, Chinese",13.066739443398806,77.56488209919526
King Burger Cafeteria,Indiranagar,Old Airport Road,3.1,11,250.0,"Fast Food, Juices",12.955372186309313,77.50741602054134
Shree Guru Sagar,Basaveshwara Nagar,Malleshwaram,3.5,40,500.0,"Chinese, North Indian, South Indian",12.90218139906356,77.6375316278206
Flame Pub & Restaurant - Brigade Garden,Brigade Road,Lavelle Road,2.9,24,1900.0,"Bar Food, North Indian",13.027079911495822,77.6010143823091
Parivaar,BTM,BTM,3.3,7,600.0,"Biryani, North Indian, Chinese",12.977011611143793,77.6829617318507
Shiv Sai,Bannerghatta Road,Bannerghatta Road,3.2,4,400.0,North Indian,13.021547358975772,77.68011771357396
Kebabs & Kurries - ITC Gardenia,Richmond Road,Brigade Road,4.3,355,3500.0,"North Indian, Mughlai",12.955402504865196,77.51852729254469
Daawat Restaurant Bar & Pub,Koramangala 7th Block,BTM,3.5,9,700.0,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",12.921242765517691,77.59763914570476
Swaadishta Restaurant,Sadashiv Nagar,Malleshwaram,2.5,60,750.0,"Andhra, North Indian, Chinese, Mangalorean",13.034952608278283,77.64612083568798
Malabar Cafe,Bannerghatta Road,Koramangala 5th Block,3.3,4,400.0,"South Indian, Kerala, Biryani",13.0422454562941,77.5940736265752
Fabindia Cafe,Koramangala 2nd Block,Koramangala 5th Block,4.2,226,200.0,"Cafe, Street Food",13.068136301723516,77.57718793028744
RCS Kitchen,BTM,JP Nagar,3.3,34,500.0,Continental,12.922149701566102,77.50246573710773
Lotus Pavilion - ITC Gardenia,Richmond Road,Residency Road,4.2,178,3000.0,Continental,13.056365542529782,77.60491067830631
Momo Junction,BTM,BTM,3.8,30,100.0,"Fast Food, Momos",13.06436786455058,77.59075312784569
Crunch Pizzas,Banaswadi,Kammanahalli,2.9,77,400.0,Pizza,13.052434221096735,77.51730912347989
Ambur Hot Dum Biryani,Shanti Nagar,Brigade Road,3.1,6,250.0,"Biryani, Kebab",12.99679787363595,77.5909157148375
The Zaika Of Banaras,Marathahalli,Bellandur,3.4,26,350.0,"North Indian, Street Food",13.037544408486111,77.6965460209716
Feast and Burp,Bannerghatta Road,Church Street,3.3,4,300.0,North Indian,13.045093633690032,77.54527808069194
The Litti Company,Koramangala 4th Block,Koramangala 7th Block,3.7,17,400.0,Bihari,13.00058678741665,77.54406509068639
Copper Chimney,Indiranagar,Old Airport Road,4.2,97,1200.0,"North Indian, Biryani",12.917281831952028,77.54742353322581
New Modern Hotel,Basavanagudi,Basavanagudi,4.2,280,150.0,South Indian,12.966902257748387,77.53026329236322
Hit and Run,Central Bangalore,Brigade Road,3.7,15,350.0,"Fast Food, Continental",13.060898928486365,77.52029147610155
Beijing Bites,JP Nagar,JP Nagar,3.7,11,400.0,"Chinese, Thai, Momos",12.931988160473386,77.68656996015375
Hotel Green Tara,Brigade Road,Lavelle Road,3.9,42,500.0,"Chinese, Tibetan, Momos",12.993000402605338,77.5529722271694
Targaryen's Kitchen,JP Nagar,Jayanagar,3.6,43,600.0,"Chinese, North Indian, Mughlai",13.010902511138193,77.69871799944531
Beijing Bites,"Varthur Main Road, Whitefield",Brookefield,3.4,23,400.0,"Chinese, Thai, Momos",13.086860822833497,77.69146288748159
SLV Andhra Mess,Domlur,Koramangala 6th Block,3.5,6,200.0,"Chinese, North Indian",12.936046730363692,77.53360988006351
Cafe D'hide,Koramangala 5th Block,Koramangala 4th Block,4.2,872,600.0,"Cafe, American, Continental, Italian",13.080995376356336,77.6652532854958
Red Chilliez,Thippasandra,Indiranagar,3.6,216,550.0,"North Indian, South Indian, Chinese, Seafood",13.089813878729084,77.64587551557494
Hungry Nights,BTM,Jayanagar,3.0,54,300.0,"Chinese, North Indian",12.964795221312308,77.55132048695519
Cafe Coffee Day,Seshadripuram,Residency Road,2.8,26,900.0,"Cafe, Fast Food",12.915585426576225,77.60033530731309
New Friends,BTM,Koramangala 7th Block,3.8,273,900.0,"North Indian, Continental, Chinese, Steak",12.91040596938997,77.53009260233132
Starbucks,Sadashiv Nagar,Malleshwaram,4.3,177,700.0,"Cafe, Desserts",12.930120054685519,77.62561698464928
Kolkata Famous Kati Roll,Bellandur,Sarjapur Road,3.3,7,100.0,"Fast Food, Rolls",12.965435388505709,77.65498081306596
Carnival Cakes & Breads,HSR,HSR,3.5,49,200.0,"Bakery, Fast Food",13.046665581743373,77.5179725602235
Tasty Jigarthanda,BTM,Jayanagar,3.4,11,150.0,"Beverages, Ice Cream",13.008752491183731,77.67043185678298
Donne Biriyani Mane,Kalyan Nagar,Kammanahalli,3.6,226,400.0,"Biryani, Kebab",13.01647411263167,77.65561887900905
Capsicum Family Restaurant,BTM,Koramangala 5th Block,3.8,256,800.0,"Biryani, North Indian",12.915959409311892,77.5682263542118
Mirch,HSR,HSR,3.7,94,400.0,"North Indian, Biryani",12.9969984569155,77.50697047667563
Bonsouth,Koramangala 5th Block,Koramangala 7th Block,4.2,2619,1300.0,"Chettinad, Andhra, Kerala",12.981394438982218,77.69686184637357
Shagun Sweets & Foods,BTM,Koramangala 5th Block,3.5,221,400.0,"Mithai, North Indian, Street Food, Chinese",13.0068004611495,77.54989907584506
Chai Point,Electronic City,Electronic City,3.9,25,250.0,"Tea, Beverages, Fast Food",13.08648879567547,77.64631654237176
Habitts,BTM,BTM,3.7,61,450.0,"Fast Food, Sandwich, Italian",12.963133696232813,77.56317565328052
Taco Bell,Brigade Road,Lavelle Road,3.9,35,600.0,"Mexican, American, Fast Food",12.988055834168158,77.55118404640123
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,BTM,4.0,150,1100.0,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",13.014239836792584,77.64585596676822
Dragon's Kitchen,HSR,HSR,3.1,248,500.0,Chinese,13.010745646279672,77.56100534877757
Maiyas,Jayanagar,Jayanagar,4.0,1784,200.0,"North Indian, South Indian, Fast Food, Juices",12.926679847035498,77.69163083299088
Savera Cafe,Shivajinagar,MG Road,3.6,11,50.0,Cafe,13.025078479942703,77.60992150136592
Mandarin Box,Church Street,Brigade Road,3.9,80,500.0,Chinese,13.070994803912294,77.66398135968078
Ambara Gardenia,Bannerghatta Road,BTM,3.8,256,800.0,"Andhra, North Indian, Chinese, Seafood",13.089537235412855,77.65675151764225
Al Amanah Cafe,Kammanahalli,Kalyan Nagar,4.4,1418,300.0,"Middle Eastern, Fast Food, Rolls",13.094787114820885,77.54002699492618
Midnight Hunger Solutions 24/7,Koramangala 5th Block,BTM,3.2,11,500.0,"North Indian, Mughlai, Chinese",13.04244404103543,77.51748037717859
Dosa Bazaar,JP Nagar,Bannerghatta Road,4.0,112,200.0,"Street Food, South Indian",13.004613084953824,77.56707632164539
New Kudla Family Resturant,MG Road,Residency Road,3.2,6,450.0,"North Indian, Chinese",12.921869364659639,77.62870830098466
Sri Venkateshwara Sweet Meat Stall,Jayanagar,JP Nagar,4.1,201,250.0,Street Food,13.055797701179921,77.6118712736233
Bottle Breacher,JP Nagar,BTM,4.2,1192,1200.0,"Italian, Continental",12.903499642797478,77.56418510034867
Cafe Zamorin,Hennur,Kalyan Nagar,3.7,23,300.0,"Chinese, Kerala",12.970129856590804,77.67756843081246
Al-Baik Tandoori Restaurant,Nagawara,Kammanahalli,3.7,117,450.0,"North Indian, Chinese, Arabian, Biryani, Rolls",13.026121694330122,77.53779477815942
Five Star Chicken,Indiranagar,Indiranagar,3.7,78,200.0,"Fast Food, Burger",12.901391517460658,77.52906562839796
Sugarberryz Cakery,Commercial Street,MG Road,3.9,58,1200.0,"Bakery, Desserts",12.913912236697284,77.62716777378971
Wolf'ish,Church Street,Frazer Town,4.1,461,700.0,"Cafe, American, Italian, Pizza, Burger",12.978955063354336,77.53370356116761
Taj Durbar,Jayanagar,BTM,3.8,83,400.0,"North Indian, BBQ",13.08203922482894,77.65428180236864
Faasos,BTM,BTM,3.9,441,500.0,"North Indian, Biryani, Fast Food",12.920233123922621,77.60100960400224
Bhagini Kitchen And Bar,Marathahalli,Marathahalli,3.8,36,1100.0,"Andhra, South Indian, Chinese, North Indian",13.001038245750554,77.54407728780318
Watson's,JP Nagar,Jayanagar,4.0,1017,1300.0,"Finger Food, Chinese, Continental",12.92614694789157,77.62312058761015
The Bangalore Cafe,Shanti Nagar,Church Street,4.2,478,800.0,"Modern Indian, North Indian, Pizza, Continental, Beverages",12.960672856442834,77.5971297065008
Taste of Nepal,Koramangala 8th Block,Residency Road,3.4,27,300.0,Chinese,13.046117606137225,77.54414621426184
Sri Krishna Sagar,Electronic City,Electronic City,3.5,9,300.0,"South Indian, North Indian",12.953441979097216,77.54487125146933
Coffee House,Majestic,Lavelle Road,3.3,6,150.0,South Indian,12.916364784569193,77.58554595086319
BBQ@52,MG Road,Church Street,3.7,41,1500.0,"BBQ, Biryani, Continental",12.992761964934875,77.6838682289516
